userId,movieId,rating,timestamp
449,32,4,1053200119
449,50,4.5,1053199959
449,186,0.5,1053198942
449,293,4,1053200117
449,318,5,1053199974
449,370,3.5,1053198939
449,527,4,1053199963
449,762,1.5,1053198975
449,1090,3.5,1053200232
449,1222,3,1053200179
449,1262,4,1053200135
449,1917,1.5,1053198922
449,2006,1,1053199018
449,2011,2.5,1053198951
449,2012,2.5,1053198954
449,2054,2,1053198986
449,2302,2.5,1053198998
449,2324,3,1053198934
449,2329,4.5,1053200107
449,2395,4,1053198946
449,2502,4.5,1053200223
449,2617,2.5,1053198994
449,2692,3.5,1053200189
449,2712,2.5,1053198958
449,2770,3,1053199011
449,2858,4,1053200226
449,2959,4.5,1053200109
449,3176,3.5,1053199004
449,3868,2.5,1053199984
449,3950,4,1053200229
449,3996,3.5,1053198925
449,4011,4,1053200172
449,4027,3.5,1053200221
449,4034,3.5,1053200182
449,4226,4.5,1053199976
449,4973,4,1053199972
449,5669,4.5,1053199966
449,5952,2,1053199980
55,186,0.5,1312747648
55,673,0.5,1312747701
55,1275,4,1312747661
55,1293,4,1312747695
55,1357,0.5,1312747730
55,1947,0.5,1312747732
55,2005,2,1312747709
55,2100,0.5,1312747638
55,2278,3,1312747714
55,2393,0.5,1312747735
55,2407,3,1312747682
55,2427,0.5,1312747741
55,2490,3.5,1312747824
55,2542,5,1312748419
55,2580,2.5,1312747818
55,2763,2.5,1312747620
55,2890,4,1312747625
55,3101,1,1312747631
55,3275,5,1312749156
55,4011,5,1312748875
55,27831,5,1312748862
55,33166,4.5,1312748156
55,44665,4.5,1312748181
55,48516,5,1312748410
55,54286,4,1312748147
